Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Power_inlet_vertical","Wurth-694106402002",-3.621339,1.117244,90.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",0.572768,0.939999,0.000000,top
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",1.160000,1.840000,180.000000,top
"C1","10uf","C_0805_2012Metric",5.060000,1.736535,90.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",4.530000,1.790000,90.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",1.510000,2.720000,0.000000,top
"C4","22pf","C_0805_2012Metric",4.270000,1.770000,0.000000,top
"C5","22pf","C_0805_2012Metric",3.940000,1.770000,0.000000,top
"C6","1uf","C_0805_2012Metric",3.830000,1.057323,90.000000,top
"C7","C_0805_1uf","C_0805_2012Metric",4.430000,1.057323,90.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",1.896535,0.940000,180.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",1.896535,1.140000,180.000000,top
"C10","10uf","C_0805_2012Metric",0.530000,0.240000,180.000000,top
"C11","10uf","C_0805_2012Metric",4.830000,0.240000,0.000000,top
"C12","10uf","C_0805_2012Metric",4.830000,3.240000,0.000000,top
"C13","10uf","C_0805_2012Metric",0.530000,3.240000,0.000000,top
"D1","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.030000,0.240000,0.000000,top
"D2","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.330000,0.240000,0.000000,top
"D3","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.630000,0.240000,0.000000,top
"D4","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.930000,0.240000,0.000000,top
"D5","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.230000,0.240000,0.000000,top
"D6","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.529446,0.240000,0.000000,top
"D7","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.830000,0.240000,0.000000,top
"D8","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.130000,0.240000,0.000000,top
"D9","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.430000,0.240000,0.000000,top
"D10","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.730000,0.240000,0.000000,top
"D11","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.030000,0.240000,0.000000,top
"D12","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.330000,0.240000,0.000000,top
"D13","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",5.230000,1.040000,90.000000,top
"D14","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",5.230000,1.340000,90.000000,top
"D15","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",5.230000,1.640000,90.000000,top
"D16","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",5.230000,1.940000,90.000000,top
"D17","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",5.230000,2.240000,90.000000,top
"D18","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",5.230000,2.540000,90.000000,top
"D19","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",5.230000,2.840000,90.000000,top
"D20","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.330000,3.240000,180.000000,top
"D21","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.030000,3.240000,180.000000,top
"D22","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.730000,3.240000,180.000000,top
"D23","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.430000,3.240000,180.000000,top
"D24","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.130000,3.240000,180.000000,top
"D25","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.830000,3.240000,180.000000,top
"D26","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.530000,3.240000,180.000000,top
"D27","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.230000,3.240000,180.000000,top
"D28","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.930000,3.240000,180.000000,top
"D29","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.630000,3.240000,180.000000,top
"D30","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.330000,3.240000,180.000000,top
"D31","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.030000,3.240000,180.000000,top
"D32","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,2.940000,-90.000000,top
"D33","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,2.640000,-90.000000,top
"D34","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,2.340000,-90.000000,top
"D35","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,2.040000,-90.000000,top
"D36","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,1.740000,-90.000000,top
"D37","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,1.440000,-90.000000,top
"D38","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,1.140000,-90.000000,top
"D39","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,0.840000,-90.000000,top
"D40","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.230000,0.540000,-90.000000,top
"D50","LED_0805","LED_0805_2012Metric",4.970000,0.506929,90.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.730000,1.740000,90.000000,top
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",1.230000,2.180000,180.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",4.830000,2.740000,180.000000,top
"R1","2.2K","R_0805_2012Metric",4.970000,0.673465,90.000000,top
"R2","10K","R_0805_2012Metric",4.330000,2.640000,180.000000,top
"R3","47","R_0805_2012Metric",1.512283,2.580000,0.000000,top
"R4","47","R_0805_2012Metric",1.512283,2.440000,0.000000,top
"R5","R_0805_22K","R_0805_2012Metric",2.736535,1.300000,0.000000,top
"R9","R_0805_10K","R_0805_2012Metric",2.063465,0.440000,180.000000,top
"R10","R_0805_10K","R_0805_2012Metric",2.530000,0.460000,180.000000,top
"R11","R_0805_10K","R_0805_2012Metric",2.990000,0.460000,180.000000,top
"R12","R_0805_10K","R_0805_2012Metric",3.416535,0.460000,180.000000,top
"R13","R_0805_47","R_0805_2012Metric",1.396535,1.820000,-90.000000,top
"R14","4.7K","R_0805_2012Metric",4.330000,2.440000,0.000000,top
"R15","4.7K","R_0805_2012Metric",4.330000,2.840000,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.070000,0.643543,180.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.512520,0.643543,180.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.967480,0.643543,180.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.407480,0.643543,180.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.830000,2.740000,180.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",4.630000,2.389606,0.000000,top
"U2","L7805","TO-252-2",4.130000,1.057323,90.000000,top
"U3","MAX7219","DIP-24_W7.62mm",2.179803,0.890394,90.000000,top
"U4","DS1307_DIP-8","DIP-8_W7.62mm",0.580394,2.590394,90.000000,top
"U5","UltrasonicModule","HC-SR04_Horiz",2.630000,2.640000,0.000000,top
"Y1","16MHz","Crystal_SMD_HC49-SD",4.110000,1.620000,0.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",0.630000,2.440000,0.000000,top
